Time (s), voltage (V)
-303.000E-03,+230.857E-03
-300.500E-03,+225.204E-03
-298.000E-03,+231.171E-03
-295.500E-03,+220.650E-03
-293.000E-03,+218.766E-03
-290.500E-03,+216.253E-03
-288.000E-03,+216.253E-03
-285.500E-03,+220.807E-03
-283.000E-03,+223.006E-03
-280.500E-03,+227.560E-03
-278.000E-03,+237.767E-03
-275.500E-03,+224.733E-03
-273.000E-03,+218.452E-03
-270.500E-03,+219.551E-03
-268.000E-03,+215.782E-03
-265.500E-03,+220.179E-03
-263.000E-03,+234.469E-03
-260.500E-03,+228.345E-03
-258.000E-03,+230.072E-03
-255.500E-03,+232.271E-03
-253.000E-03,+215.939E-03
-250.500E-03,+215.311E-03
-248.000E-03,+213.584E-03
-245.500E-03,+220.179E-03
-243.000E-03,+222.378E-03
-240.500E-03,+223.791E-03
-238.000E-03,+230.700E-03
-235.500E-03,+226.146E-03
-233.000E-03,+220.807E-03
-230.500E-03,+212.955E-03
-228.000E-03,+210.914E-03
-225.500E-03,+217.195E-03
-223.000E-03,+224.105E-03
-220.500E-03,+224.890E-03
-218.000E-03,+229.287E-03
-215.500E-03,+227.403E-03
-213.000E-03,+219.237E-03
-210.500E-03,+215.939E-03
-208.000E-03,+213.741E-03
-205.500E-03,+215.782E-03
-203.000E-03,+216.410E-03
-200.500E-03,+225.832E-03
-198.000E-03,+228.345E-03
-195.500E-03,+223.634E-03
-193.000E-03,+219.865E-03
-190.500E-03,+218.138E-03
-188.000E-03,+212.955E-03
-185.500E-03,+213.427E-03
-183.000E-03,+222.220E-03
-180.500E-03,+225.832E-03
-178.000E-03,+227.403E-03
-175.500E-03,+226.146E-03
-173.000E-03,+217.666E-03
-170.500E-03,+218.923E-03
-168.000E-03,+214.212E-03
-165.500E-03,+218.923E-03
-163.000E-03,+226.932E-03
-160.500E-03,+223.477E-03
-158.000E-03,+224.419E-03
-155.500E-03,+224.890E-03
-153.000E-03,+216.410E-03
-150.500E-03,+212.170E-03
-148.000E-03,+215.939E-03
-145.500E-03,+222.220E-03
-143.000E-03,+220.807E-03
-140.500E-03,+227.403E-03
-138.000E-03,+225.675E-03
-135.500E-03,+223.006E-03
-133.000E-03,+222.063E-03
-130.500E-03,+222.535E-03
-128.000E-03,+216.881E-03
-125.500E-03,+218.295E-03
-123.000E-03,+226.146E-03
-120.500E-03,+227.717E-03
-118.000E-03,+231.643E-03
-115.500E-03,+230.700E-03
-113.000E-03,+219.080E-03
-110.500E-03,+221.435E-03
-108.000E-03,+217.981E-03
-105.500E-03,+217.509E-03
-103.000E-03,+219.551E-03
-100.500E-03,+223.006E-03
-98.000E-03,+227.089E-03
-95.500E-03,+224.262E-03
-93.000E-03,+220.336E-03
-90.500E-03,+216.410E-03
-88.000E-03,+210.757E-03
-85.500E-03,+214.526E-03
-83.000E-03,+220.336E-03
-80.500E-03,+223.320E-03
-78.000E-03,+228.973E-03
-75.500E-03,+226.774E-03
-73.000E-03,+220.807E-03
-70.500E-03,+217.823E-03
-68.000E-03,+214.840E-03
-65.500E-03,+217.666E-03
-63.000E-03,+223.320E-03
-60.500E-03,+224.890E-03
-58.000E-03,+231.486E-03
-55.500E-03,+229.915E-03
-53.000E-03,+222.849E-03
-50.500E-03,+220.650E-03
-48.000E-03,+221.592E-03
-45.500E-03,+217.038E-03
-43.000E-03,+225.518E-03
-40.500E-03,+228.816E-03
-38.000E-03,+228.816E-03
-35.500E-03,+228.188E-03
-33.000E-03,+225.204E-03
-30.500E-03,+220.179E-03
-28.000E-03,+213.584E-03
-25.500E-03,+218.138E-03
-23.000E-03,+226.146E-03
-20.500E-03,+225.832E-03
-18.000E-03,+228.031E-03
-15.500E-03,+226.932E-03
-13.000E-03,+220.179E-03
-10.500E-03,+223.791E-03
-8.000E-03,+216.724E-03
-5.500E-03,+216.096E-03
-3.000E-03,+223.634E-03
-500E-06,+214.369E-03
+2.000E-03,+160.663E-03
+4.500E-03,+112.610E-03
+7.000E-03,+95.964E-03
+9.500E-03,+91.410E-03
+12.000E-03,+88.269E-03
+14.500E-03,+85.443E-03
+17.000E-03,+87.955E-03
+19.500E-03,+88.898E-03
+22.000E-03,+98.320E-03
+24.500E-03,+96.592E-03
+27.000E-03,+89.683E-03
+29.500E-03,+93.138E-03
+32.000E-03,+92.195E-03
+34.500E-03,+87.798E-03
+37.000E-03,+92.981E-03
+39.500E-03,+85.914E-03
+42.000E-03,+88.112E-03
+44.500E-03,+94.551E-03
+47.000E-03,+93.766E-03
+49.500E-03,+85.129E-03
+52.000E-03,+66.285E-03
+54.500E-03,+66.913E-03
+57.000E-03,+44.457E-03
+59.500E-03,+17.133E-03
+62.000E-03,-14.903E-03
+64.500E-03,-68.609E-03
+67.000E-03,-128.125E-03
+69.500E-03,-165.970E-03
+72.000E-03,-183.715E-03
+74.500E-03,-186.542E-03
+77.000E-03,-186.856E-03
+79.500E-03,-191.253E-03
+82.000E-03,-209.312E-03
+84.500E-03,-251.084E-03
+87.000E-03,-328.188E-03
+89.500E-03,-443.923E-03
+92.000E-03,-638.803E-03
+94.500E-03,-861.479E-03
+97.000E-03,-1.100958E+00
+99.500E-03,-1.355512E+00
+102.000E-03,-1.623414E+00
+104.500E-03,-1.926806E+00
+107.000E-03,-2.201303E+00
+109.500E-03,-2.412673E+00
+112.000E-03,-2.505166E+00
+114.500E-03,-2.516787E+00
+117.000E-03,-2.438584E+00
+119.500E-03,-2.340279E+00
+122.000E-03,-2.137547E+00
+124.500E-03,-1.757679E+00
+127.000E-03,-1.189840E+00
+129.500E-03,-693.923E-03
+132.000E-03,-282.648E-03
+134.500E-03,-61.542E-03
+137.000E-03,+77.277E-03
+139.500E-03,+140.091E-03
+142.000E-03,+177.151E-03
