Energy theoretical (eV),Theoretical amplitude (arbitrary unit),Theoretical derivative (arbitrary unit),Energy lab data (eV),Measured amplitude (arbitrary unit),Measured derivative (arbirary unit)
74.539,6.102,-0.657,71.000,52.143,-0.644
74.037,6.432,-0.718,70.000,52.787,0.000
73.539,6.790,-0.995,69.000,52.787,0.000
73.036,7.290,-0.746,68.000,52.787,-1.287
72.536,7.663,-0.760,67.000,54.075,-0.644
72.036,8.043,-1.137,66.000,54.718,0.000
71.536,8.612,-1.076,65.000,54.718,-1.287
71.036,9.150,-1.194,64.000,56.006,-0.644
70.536,9.747,-1.166,63.000,56.650,-1.287
70.037,10.329,-1.283,62.000,57.937,-1.931
69.534,10.973,-1.578,61.000,59.868,-1.287
69.036,11.760,-1.299,60.000,61.156,-1.287
68.535,12.410,-1.672,59.000,62.443,-1.931
68.032,13.251,-1.735,58.000,64.375,-1.931
67.534,14.116,-1.874,57.000,66.306,-1.287
67.034,15.054,-2.169,56.000,67.593,-1.287
66.535,16.136,-2.286,55.000,68.881,-0.644
66.034,17.279,-2.086,54.000,69.525,-1.287
65.533,18.326,-2.368,53.000,70.812,0.000
65.033,19.509,-2.885,52.000,70.812,0.000
64.533,20.952,-2.623,51.000,70.812,1.931
64.032,22.266,-3.068,50.000,68.881,0.644
63.531,23.805,-3.328,49.000,68.237,2.575
63.032,25.464,-3.196,48.000,65.662,1.931
62.531,27.066,-3.533,47.000,63.731,1.287
62.030,28.837,-4.223,46.000,62.443,1.287
61.532,30.939,-3.771,45.000,61.156,0.644
61.029,32.834,-4.866,44.000,60.512,0.000
60.530,35.262,-4.913,43.000,60.512,1.287
60.030,37.721,-5.849,42.000,59.225,-0.644
59.531,40.640,-6.241,41.000,59.868,0.000
59.028,43.776,-7.502,40.000,59.868,-1.931
58.530,47.515,-8.060,39.000,61.800,-1.931
58.029,51.553,-8.792,38.000,63.731,-3.219
57.528,55.960,-9.848,37.000,66.950,-4.506
57.029,60.873,-10.065,36.000,71.456,-5.794
56.528,65.913,-9.378,35.000,77.249,-4.506
56.028,70.603,-7.934,34.000,81.756,-6.437
55.526,74.581,-4.902,33.000,88.193,-3.862
55.026,77.033,-1.606,32.000,92.056,-3.862
54.527,77.834,1.404,31.000,95.918,-0.644
54.026,77.130,3.372,30.000,96.562,0.000
53.527,75.446,3.246,29.000,96.562,3.219
53.026,73.820,1.254,28.000,93.343,5.150
52.525,73.192,-2.800,27.000,88.193,5.794
52.026,74.592,-10.044,26.000,82.399,6.437
51.525,79.618,-18.732,25.000,75.962,7.725
51.024,89.000,54.551,24.000,68.237,7.081
50.525,61.773,-6.248,23.000,61.156,7.725
50.025,64.901,-16.194,22.000,53.431,5.794
49.525,72.997,-10.936,21.000,47.637,6.437
49.024,78.472,-4.697,20.000,41.200,4.506
48.523,80.825,0.711,19.000,36.694,4.506
48.024,80.470,4.517,18.000,32.187,3.862
47.523,78.210,5.191,17.000,28.325,5.794
47.022,75.608,3.818,16.000,22.531,5.150
46.522,73.700,1.560,15.000,17.381,6.437
46.022,72.920,0.195,14.000,10.944,4.506
45.522,72.823,2.071,13.000,6.437,4.506
45.022,71.787,8.289,12.000,1.931,1.931
44.522,67.644,14.784,11.000,0.000,-3.219
44.021,60.242,16.536,10.000,3.219,
43.521,51.977,12.942,,,
43.020,45.493,6.690,,,
42.520,42.145,0.314,,,
42.021,41.988,-1.444,,,
41.520,42.710,8.928,,,
41.020,38.242,17.713,,,
40.520,29.382,12.093,,,
40.019,23.329,3.799,,,
39.519,21.429,-8.834,,,
39.019,25.849,14.436,,,
38.519,18.632,7.641,,,
38.018,14.806,-0.849,,,
37.518,15.231,-1.846,,,
37.017,16.155,-2.495,,,
36.517,17.403,-3.104,,,
36.017,18.955,-4.143,,,
35.517,21.028,-4.980,,,
35.016,23.520,-6.176,,,
34.516,26.611,-7.707,,,
34.016,30.463,-9.529,,,
33.515,35.234,-11.919,,,
33.016,41.192,-14.730,,,
32.515,48.560,-17.982,,,
32.015,57.558,-21.806,,,
31.515,68.465,-25.853,,,
31.014,81.400,-28.196,,,
30.514,95.499,-29.179,,,
30.014,110.101,-26.293,,,
29.514,123.254,-18.942,,,
29.013,132.736,-8.742,,,
28.513,137.108,1.953,,,
28.013,136.132,10.648,,,
27.513,130.806,15.954,,,
27.012,122.824,17.242,,,
26.512,114.198,17.330,,,
26.012,105.530,16.417,,,
25.511,97.315,15.513,,,
25.011,89.554,14.668,,,
24.511,82.216,14.443,,,
24.011,74.991,14.320,,,
23.510,67.825,13.772,,,
23.010,60.937,13.128,,,
22.510,54.372,11.932,,,
22.010,48.402,10.545,,,
21.509,43.127,8.859,,,
21.009,38.694,7.333,,,
20.509,35.026,5.828,,,
20.009,32.110,4.497,,,
19.508,29.860,3.342,,,
19.008,28.189,2.249,,,
18.508,27.063,1.412,,,
18.007,26.357,0.830,,,
17.507,25.942,1.083,,,
17.007,25.400,3.457,,,
16.507,23.670,6.777,,,
16.006,20.279,-4.316,,,
15.506,22.438,-15.312,,,
15.006,30.099,-8.054,,,
14.506,34.128,3.367,,,
14.005,32.444,11.212,,,
13.505,26.834,12.605,,,
13.005,20.529,10.265,,,
12.504,15.394,7.254,,,
12.004,11.765,4.904,,,
11.504,9.312,3.307,,,
11.004,7.658,2.333,,,
10.503,6.490,1.875,,,
10.003,5.552,1.904,,,
9.503,4.600,2.264,,,
9.003,3.467,2.464,,,
8.753,2.851,2.393,,,
8.502,2.252,2.137,,,
8.252,1.718,1.765,,,
8.002,1.276,1.366,,,
7.752,0.934,1.003,,,
7.502,0.683,0.713,,,
7.252,0.505,0.497,,,
7.002,0.381,0.343,,,
6.751,0.295,0.237,,,
6.501,0.236,0.163,,,
6.251,0.195,0.112,,,
6.001,0.167,0.073,,,
5.751,0.149,0.034,,,
5.501,0.140,-0.025,,,
5.251,0.146,-0.187,,,
5.001,0.193,-0.051,,,
4.750,0.206,0.751,,,
4.500,0.018,,,,
