Energy theoretical (eV),Theoretical amplitude (arbitrary unit),Theoretical derivative (arbitrary unit),Energy lab data (eV),Measured amplitude (arbitrary unit),Measured derivative (arbirary unit)
74.539,2.715,-0.248,71.000,52.143,-0.644
74.037,2.839,-0.271,70.000,52.787,0.000
73.539,2.974,-0.388,69.000,52.787,0.000
73.036,3.169,-0.273,68.000,52.787,-1.287
72.536,3.306,-0.274,67.000,54.075,-0.644
72.036,3.443,-0.418,66.000,54.718,0.000
71.536,3.652,-0.397,65.000,54.718,-1.287
71.036,3.850,-0.423,64.000,56.006,-0.644
70.536,4.061,-0.404,63.000,56.650,-1.287
70.037,4.263,-0.444,62.000,57.937,-1.931
69.534,4.486,-0.552,61.000,59.868,-1.287
69.036,4.761,-0.430,60.000,61.156,-1.287
68.535,4.976,-0.571,59.000,62.443,-1.931
68.032,5.264,-0.580,58.000,64.375,-1.931
67.534,5.553,-0.605,57.000,66.306,-1.287
67.034,5.856,-0.729,56.000,67.593,-1.287
66.535,6.220,-0.736,55.000,68.881,-0.644
66.034,6.588,-0.636,54.000,69.525,-1.287
65.533,6.906,-0.759,53.000,70.812,0.000
65.033,7.286,-0.913,52.000,70.812,0.000
64.533,7.743,-0.792,51.000,70.812,1.931
64.032,8.139,-0.942,50.000,68.881,0.644
63.531,8.612,-0.980,49.000,68.237,2.575
63.032,9.100,-0.951,48.000,65.662,1.931
62.531,9.577,-1.008,47.000,63.731,1.287
62.030,10.082,-1.198,46.000,62.443,1.287
61.532,10.678,-1.039,45.000,61.156,0.644
61.029,11.200,-1.380,44.000,60.512,0.000
60.530,11.889,-1.290,43.000,60.512,1.287
60.030,12.534,-1.623,42.000,59.225,-0.644
59.531,13.345,-1.657,41.000,59.868,0.000
59.028,14.177,-2.042,40.000,59.868,-1.931
58.530,15.195,-2.245,39.000,61.800,-1.931
58.029,16.320,-2.570,38.000,63.731,-3.219
57.528,17.608,-2.994,37.000,66.950,-4.506
57.029,19.102,-3.421,36.000,71.456,-5.794
56.528,20.815,-3.826,35.000,77.249,-4.506
56.028,22.728,-4.012,34.000,81.756,-6.437
55.526,24.739,-4.071,33.000,88.193,-3.862
55.026,26.776,-3.517,32.000,92.056,-3.862
54.527,28.530,-2.586,31.000,95.918,-0.644
54.026,29.826,-1.523,30.000,96.562,0.000
53.527,30.587,-0.376,29.000,96.562,3.219
53.026,30.775,-0.201,28.000,93.343,5.150
52.525,30.875,-0.622,27.000,88.193,5.794
52.026,31.186,-3.221,26.000,82.399,6.437
51.525,32.799,-12.793,25.000,75.962,7.725
51.024,39.206,4.412,24.000,68.237,7.081
50.525,37.004,11.789,23.000,61.156,7.725
50.025,31.102,-4.254,22.000,53.431,5.794
