Energy (eV)	Loss (a.u.)
66.1	48.35281615
65.6	49.41551541
65.1	48.61849097
64.6	49.54835282
64.1	49.54835282
63.6	49.94686504
63.1	49.81402763
62.6	50.34537726
62.1	50.47821467
61.6	51.1424017
61.1	50.74388948
60.6	51.54091392
60.1	51.27523911
59.6	52.33793836
59.1	52.20510096
58.6	53.53347503
58.1	53.79914984
57.6	54.72901169
57.1	55.12752391
56.6	56.05738576
56.1	56.72157279
55.6	57.78427205
55.1	58.31562168
54.6	59.37832094
54.1	59.90967056
53.6	60.83953241
53.1	61.63655685
52.6	62.83209352
52.1	63.09776833
51.6	63.89479277
51.1	64.29330499
50.6	65.35600425
50.1	65.48884166
49.6	66.02019129
49.1	66.55154091
48.6	66.68437832
48.1	66.55154091
47.6	67.08289054
47.1	66.95005313
46.6	66.95005313
46.1	66.15302869
45.6	65.75451647
45.1	65.35600425
44.6	64.4261424
44.1	63.76195537
43.6	62.96493092
43.1	61.63655685
42.6	60.70669501
42.1	59.90967056
41.6	59.11264612
41.1	58.18278427
40.6	57.78427205
40.1	57.12008502
39.6	56.8544102
39.1	56.58873539
38.6	56.05738576
38.1	55.92454835
37.6	56.05738576
37.1	56.05738576
36.6	55.79171095
36.1	56.19022317
35.6	56.32306057
35.1	57.25292242
34.6	57.65143464
34.1	59.51115834
33.6	60.5738576
33.1	62.69925611
32.6	64.29330499
32.1	66.68437832
31.6	68.67693943
31.1	71.20085016
30.6	73.59192349
30.1	76.24867163
29.6	78.50690755
29.1	81.16365569
28.6	83.68756642
28.1	85.94580234
27.6	87.93836344
27.1	89.79808714
26.6	90.8607864
26.1	92.58767269
25.6	92.32199787
25.1	92.98618491
24.6	91.92348565
24.1	91.12646121
23.6	89.26673751
23.1	87.53985122
22.6	85.01594049
22.1	82.49202976
21.6	79.43676939
21.1	76.51434644
20.6	72.66206164
20.1	69.60680128
19.6	65.62167906
19.1	62.16790648
18.6	58.18278427
18.1	54.33049947
17.6	50.87672689
17.1	47.55579171
16.6	44.63336876
16.1	41.7109458
15.6	39.05419766
15.1	37.19447396
14.6	35.06907545
14.1	33.60786397
13.6	31.08395324
13.1	29.75557917
12.6	27.36450584
12.1	25.10626993
11.6	22.58235919
11.1	19.92561105
10.6	17.1360255
10.1	14.34643996
9.6	11.2911796
9.1	9.032943677
8.6	6.110520723
8.1	4.383634431
7.6	2.125398512
7.1	1.062699256
6.6	-0.398512221
6.1	0
