Energy (eV)	Loss (a.u.)
70.53906517	4.450543786
70.03726287	4.6908178
69.53865127	4.95196885
69.03556124	5.317165883
68.5359116	5.589168893
68.03597872	5.866264909
67.53593206	6.281017104
67.03593623	6.673515883
66.53615104	7.108623521
66.03673143	7.533503514
65.53436526	8.003493173
65.0361749	8.576990838
64.53542816	9.051282361
64.03241625	9.664670504
63.53393086	10.29535878
63.03353659	10.97936241
62.53465746	11.76855853
62.03430515	12.60267811
61.5327381	13.36583523
61.03321033	14.22868183
60.53286488	15.28162506
60.03193961	16.23996948
59.53066513	17.36182603
59.03207386	18.57208322
58.53071624	19.74064777
58.02965804	21.03190353
57.53176885	22.56551576
57.02923869	23.94765784
56.53025884	25.71838694
56.0298103	27.51167631
55.53068624	29.64095816
55.02816839	31.92829574
54.52986944	34.65470719
54.02874564	37.60049576
53.52750809	40.81471192
53.02868379	44.39761607
52.52794715	48.07345016
52.02784884	51.49403995
51.52647975	54.39533785
51.0262844	56.18375864
50.52747342	56.76787586
50.02621285	56.25467685
49.52688945	55.02679626
49.02580722	53.84041351
48.52526991	53.38271219
48.02555168	54.40333338
47.52509386	58.06954394
47.0242608	64.91210064
46.52514721	45.05403706
46.02456127	47.33522372
45.52460641	53.24018232
45.0239547	57.23352514
44.52300625	58.94977133
44.02370644	58.69087348
43.52326153	57.04210847
43.02212666	55.14495842
42.52219518	53.7529361
42.02235772	53.18425318
41.52162271	53.11305859
41.0218254	52.35797947
40.52200046	49.33611548
40.02129307	43.93722164
39.52147317	37.90930203
39.02047749	33.18011145
38.52005962	30.73833675
38.02065774	30.6239473
37.52041619	31.15085678
37.0199051	27.89188111
36.51966557	21.42943623
36.01916376	17.01483448
35.51896922	15.62886947
35.01863144	18.85268253
34.51874113	13.58934827
34.01798936	10.79885963
33.51796812	11.1084492
33.01748689	11.78236816
32.51723505	12.69275283
32.01703446	13.82509753
31.51676829	15.33673393
31.01637705	17.15410425
30.51585447	19.40865848
30.0159698	22.21849345
29.51533465	25.69799256
29.01550768	30.04305921
28.51527481	35.41736277
28.01490515	41.97964957
27.51469447	49.93497973
27.01437282	59.36913515
26.5143419	69.65208985
26.01392442	80.30197473
25.51366693	89.89515762
25.01310642	96.81060171
24.51290361	100
24.01277584	99.28772278
23.51257605	95.40299631
23.01228064	89.58151344
22.51197735	83.29008971
22.01185322	76.96855956
21.51143635	70.97671353
21.01117886	65.31646681
20.5109127	59.96455709
20.01064654	54.69491968
19.51023875	49.46848082
19.01003755	44.44433561
18.50995255	39.65613244
18.00958188	35.30176774
17.50931572	31.45431139
17.00899468	28.22161856
16.50874345	25.54613237
16.00851723	23.41970497
15.50818852	21.77869579
15.0079849	20.55930159
14.50775384	19.73870202
14.00745257	19.22333694
13.50718641	18.920569
13.00696221	18.5253691
12.5066793	17.26379914
12.00638792	14.79078697
11.50614032	16.36539931
11.00582896	21.9528025
10.50558943	24.89146695
10.00532327	23.66293944
9.505018773	19.57157185
9.004790941	14.97285511
8.50449734	11.22742116
8.004258614	8.580861596
7.503992451	6.791708429
7.003726287	5.585034801
6.50344701	4.73369544
6.003193961	4.049676556
5.502914482	3.354864692
5.002661634	2.528754525
4.752527594	2.079169696
4.50239547	1.642670886
4.25224867	1.252697171
4.002129307	0.93063436
3.751984877	0.681467078
3.501853258	0.498399184
3.251723505	0.368272009
3.001589717	0.277572785
2.751457241	0.215014609
2.501325773	0.171868232
2.25119365	0.142041486
2.001061426	0.121631102
1.7509291	0.108379093
1.500796674	0.102134943
1.250662887	0.10676963
1.000530713	0.140848041
0.750397883	0.150123713
0.500265356	0.013159417
