Energy (eV)	Im(alpha) (a.u.)
70.53906517	1.1664502
70.03726287	1.219685419
69.53865127	1.277340482
69.03556124	1.361500631
68.5359116	1.41916768
68.03597872	1.476832678
67.53593206	1.565475038
67.03593623	1.649658967
66.53615104	1.73830107
66.03673143	1.822499421
65.53436526	1.915526178
65.0361749	2.030663048
64.53542816	2.119210607
64.03241625	2.238720978
63.53393086	2.35819539
63.03353659	2.482022855
62.53465746	2.632432902
62.03430515	2.782731226
61.5327381	2.910749258
61.03321033	3.065416404
60.53286488	3.250963034
60.03193961	3.409768443
59.53066513	3.599556854
59.03207386	3.793449364
58.53071624	3.98302292
58.02965804	4.181017029
57.53176885	4.414131891
57.02923869	4.616110044
56.53025884	4.884455201
56.0298103	5.129517388
55.53068624	5.441484933
55.02816839	5.756835737
54.52986944	6.143094467
54.02874564	6.569810131
53.52750809	7.060387226
53.02868379	7.6284907
52.52794715	8.287689416
52.02784884	9.03895535
51.52647975	9.844099272
51.0262844	10.69784974
50.52747342	11.47460853
50.02621285	12.10111066
49.52688945	12.52879991
49.02580722	12.69283657
48.52526991	12.77069619
48.02555168	12.85102587
47.52509386	13.36711345
47.0242608	15.78521879
46.52514721	16.61356043
46.02456127	13.33236235
45.52460641	13.90660297
45.0239547	15.02135828
44.52300625	16.31944552
44.02370644	17.60788352
43.52326153	18.68442595
43.02212666	19.44644392
42.52219518	19.93832469
42.02235772	20.51871976
41.52162271	21.53333227
41.0218254	23.25442457
40.52200046	25.57171498
40.02129307	27.48196998
39.52147317	27.47585892
39.02047749	25.28378413
38.52005962	22.63630081
38.02065774	21.34799665
37.52041619	22.23792695
37.0199051	23.39676852
36.51966557	19.79169864
36.01916376	14.37039128
35.51896922	11.23850615
35.01863144	11.7211822
34.51874113	10.37599009
34.01798936	6.629260052
33.51796812	5.922656425
33.01748689	5.632684579
32.51723505	5.511186609
32.01703446	5.490473501
31.51676829	5.58479804
31.01637705	5.731901424
30.51585447	5.951386657
30.0159698	6.253142957
29.51533465	6.641986419
29.01550768	7.089973095
28.51527481	7.644989269
28.01490515	8.319592987
27.51469447	9.106078511
27.01437282	10.01497539
26.5143419	11.07591905
26.01392442	12.35679041
25.51366693	13.79459457
25.01310642	15.4706203
24.51290361	17.36656911
24.01277584	19.47642963
23.51257605	21.81061755
23.01228064	24.36055248
22.51197735	27.0048615
22.01185322	29.79809112
21.51143635	32.7306286
21.01117886	35.87335966
20.5109127	39.33907991
20.01064654	43.33186648
19.51023875	48.00793243
19.01003755	53.40055981
18.50995255	59.58273497
18.00958188	66.12064295
17.50931572	72.41170432
17.00899468	77.23404391
16.50874345	79.79459396
16.00851723	79.4218459
15.50818852	76.70623694
15.0079849	72.51874849
14.50775384	68.02759044
14.00745257	64.14440489
13.50718641	61.55728809
13.00696221	60.65571954
12.5066793	60.30510293
12.00638792	51.64205835
11.50614032	40.59129692
11.00582896	44.89526989
10.50558943	55.1590116
10.00532327	69.61134404
9.505018773	87.14308882
9.004790941	100
8.50449734	96.02094689
8.004258614	77.19839685
7.503992451	57.24852301
7.003726287	42.62397276
6.50344701	32.92795513
6.003193961	26.24046545
5.502914482	20.68330766
5.002661634	14.91404329
4.752527594	11.92132922
4.50239547	9.095932004
4.25224867	6.657940159
4.002129307	4.729671333
3.751984877	3.307383002
3.501853258	2.311008539
3.251723505	1.633450183
3.001589717	1.179265534
2.751457241	0.876168442
2.501325773	0.672701176
2.25119365	0.535010766
2.001061426	0.44212214
1.7509291	0.381935866
1.500796674	0.35194144
1.250662887	0.365903863
1.000530713	0.494859514
0.750397883	0.533919122
0.500265356	0
