Energy (eV)	Loss (a.u.)
70.53906517	1.979846965
70.03726287	2.07075439
69.53865127	2.169255658
69.03556124	2.311530845
68.5359116	2.410962431
68.03597872	2.510804019
67.53593206	2.663226259
67.03593623	2.807820096
66.53615104	2.961907631
66.03673143	3.109192693
65.53436526	3.271901034
65.0361749	3.472544898
64.53542816	3.629516129
64.03241625	3.839160636
63.53393086	4.050101093
63.03353659	4.271049451
62.53465746	4.536203793
62.03430515	4.804647013
61.5327381	5.037203996
61.03321033	5.313813271
60.53286488	5.647074934
60.03193961	5.936500101
59.53066513	6.280879858
59.03207386	6.637371326
58.53071624	6.985145476
58.02965804	7.353428101
57.53176885	7.788315519
57.02923869	8.169002206
56.53025884	8.671295244
56.0298103	9.14197186
55.53068624	9.732864481
55.02816839	10.34025681
54.52986944	11.0825059
54.02874564	11.90288132
53.52750809	12.84230029
53.02868379	13.93167263
52.52794715	15.18112171
52.02784884	16.57662738
51.52647975	18.04374036
51.0262844	19.52873078
50.52747342	20.80811424
50.02621285	21.75351929
49.52688945	22.30828702
49.02580722	22.44561822
48.52526991	22.51897706
48.02555168	22.74582065
47.52509386	23.92157223
47.0242608	28.59474802
46.52514721	26.98861587
46.02456127	22.68447792
45.52460641	24.23566048
45.0239547	26.42891246
44.52300625	28.69569717
44.02370644	30.70274983
43.52326153	32.12768339
43.02212666	32.96197539
42.52219518	33.43771231
42.02235772	34.19845421
41.52162271	35.72242319
41.0218254	38.1508568
40.52200046	40.71798924
40.02129307	41.45812206
39.52147317	38.96110846
39.02047749	34.4634477
38.52005962	30.65573286
38.02065774	29.23880183
37.52041619	30.37866879
37.0199051	30.32753635
36.51966557	24.28340899
36.01916376	17.82519513
35.51896922	14.56103118
35.01863144	15.90780081
34.51874113	13.16255365
34.01798936	8.931373674
33.51796812	8.299657413
33.01748689	8.128452275
32.51723505	8.154843748
32.01703446	8.309273199
31.51676829	8.634273826
31.01637705	9.046260999
30.51585447	9.583931122
30.0159698	10.27142852
29.51533465	11.12552282
29.01550768	12.12459768
28.51527481	13.34653526
28.01490515	14.82691184
27.51469447	16.57992637
27.01437282	18.64734198
26.5143419	21.07701098
26.01392442	24.02899909
25.51366693	27.40157416
25.01310642	31.34180727
24.51290361	35.80693948
24.01277584	40.73750227
23.51257605	46.07450741
23.01228064	51.70495236
22.51197735	57.33722376
22.01185322	63.00056752
21.51143635	68.62149081
21.01117886	74.23470255
20.5109127	80.08268739
20.01064654	86.15246826
19.51023875	91.97459608
19.01003755	96.87127078
18.50995255	100
18.00958188	99.97295997
17.50931572	96.67277763
17.00899468	90.44174768
16.50874345	82.7409544
16.00851723	74.63968998
15.50818852	67.29482299
15.0079849	61.06564152
14.50775384	56.26163062
14.00745257	52.82266625
13.50718641	50.71091687
13.00696221	49.47880501
12.5066793	47.05308198
12.00638792	38.69547601
11.50614032	35.17830851
11.00582896	44.17851689
10.50558943	55.99210822
10.00532327	66.11796897
9.505018773	68.49739095
9.004790941	59.87143961
8.50449734	46.0376562
8.004258614	33.87666343
7.503992451	25.29679032
7.003726287	19.64985749
6.50344701	15.88112125
6.003193961	13.1114473
5.502914482	10.58939908
5.002661634	7.803951637
4.752527594	6.329856573
4.50239547	4.920779555
4.25224867	3.683964609
4.002129307	2.68363917
3.751984877	1.927019317
3.501853258	1.383445852
3.251723505	1.005050398
3.001589717	0.746133068
2.751457241	0.570325178
2.501325773	0.450620275
2.25119365	0.368701932
2.001061426	0.313015627
1.7509291	0.276873712
1.500796674	0.259312561
1.250662887	0.26969385
1.000530713	0.354456941
0.750397883	0.378808746
0.500265356	0.033088128
